[INFO] [1789722590.052868, 10.004500]: MetricsLogger: robot=tracked run=2
[INFO] [1789722590.053973, 10.004500]:   output    : /home/alessandro/metrics_VF/fixed_trajectory/swept_lidar/tracked/run02
[INFO] [1789722590.056468, 10.005500]:   odom      : /rtabmap/odom
[INFO] [1789722590.059106, 10.006000]:   cmd_vel   : /example_two_track/cmd_vel
[INFO] [1789722940.733422, 118.493500]: [event] proximity_detection id=81 verdict=true gt_gap=13.750m  at gt=(53.39, -33.50) s=50.7m
[INFO] [1789722944.634749, 119.570500]: [event] proximity_detection id=82 verdict=true gt_gap=13.730m  at gt=(53.14, -33.93) s=51.2m
[INFO] [1789722949.052205, 120.722000]: [event] proximity_detection id=83 verdict=true gt_gap=13.705m  at gt=(52.86, -34.35) s=51.7m
[INFO] [1789722952.082951, 121.743000]: [event] proximity_detection id=84 verdict=true gt_gap=13.607m  at gt=(52.61, -34.72) s=52.1m
[INFO] [1789722955.551286, 122.784500]: [event] proximity_detection id=85 verdict=true gt_gap=13.519m  at gt=(52.32, -35.07) s=52.6m
[INFO] [1789722959.527928, 123.823500]: [event] proximity_detection id=86 verdict=true gt_gap=13.500m  at gt=(52.01, -35.44) s=53.1m
[INFO] [1789723074.186523, 156.616000]: [event] proximity_detection id=118 verdict=true gt_gap=13.949m  at gt=(37.88, -39.35) s=68.4m
[INFO] [1789723077.010463, 157.674500]: [event] proximity_detection id=119 verdict=true gt_gap=14.094m  at gt=(37.34, -39.32) s=69.0m
[INFO] [1789723079.522041, 158.663000]: [event] proximity_detection id=120 verdict=true gt_gap=14.122m  at gt=(36.85, -39.29) s=69.5m
[INFO] [1789723083.083386, 159.702500]: [event] proximity_detection id=121 verdict=true gt_gap=14.208m  at gt=(36.36, -39.26) s=70.0m
[INFO] [1789723086.548157, 160.728500]: [event] proximity_detection id=122 verdict=true gt_gap=14.289m  at gt=(35.86, -39.24) s=70.5m
[INFO] [1789723089.645574, 161.871000]: [event] proximity_detection id=123 verdict=true gt_gap=14.423m  at gt=(35.30, -39.22) s=71.0m
[INFO] [1789723092.414487, 162.825000]: [event] proximity_detection id=124 verdict=true gt_gap=14.399m  at gt=(34.87, -39.20) s=71.5m
[INFO] [1789723096.121748, 163.805500]: [event] proximity_detection id=125 verdict=true gt_gap=14.462m  at gt=(34.39, -39.17) s=71.9m
[INFO] [1789723099.473066, 164.858500]: [event] proximity_detection id=126 verdict=true gt_gap=14.515m  at gt=(33.88, -39.12) s=72.5m
[INFO] [1789723102.266642, 165.841000]: [event] proximity_detection id=127 verdict=true gt_gap=14.527m  at gt=(33.43, -39.08) s=72.9m
[INFO] [1789723105.427498, 166.817000]: [event] proximity_detection id=128 verdict=true gt_gap=14.512m  at gt=(32.97, -39.06) s=73.4m
[INFO] [1789723108.569289, 167.868000]: [event] proximity_detection id=129 verdict=true gt_gap=14.602m  at gt=(32.48, -39.04) s=73.9m
[INFO] [1789723111.342658, 168.851000]: [event] proximity_detection id=130 verdict=true gt_gap=14.609m  at gt=(32.01, -39.00) s=74.3m
[INFO] [1789723114.460530, 169.797500]: [event] proximity_detection id=131 verdict=true gt_gap=14.594m  at gt=(31.57, -38.96) s=74.8m
[INFO] [1789723117.793144, 170.838500]: [event] proximity_detection id=132 verdict=true gt_gap=14.664m  at gt=(31.08, -38.90) s=75.3m
[INFO] [1789723121.220550, 171.884500]: [event] proximity_detection id=133 verdict=true gt_gap=14.691m  at gt=(30.58, -38.84) s=75.8m
[INFO] [1789723124.782269, 172.923500]: [event] proximity_detection id=134 verdict=true gt_gap=14.757m  at gt=(30.08, -38.76) s=76.3m
[INFO] [1789723127.627053, 173.972500]: [event] proximity_detection id=135 verdict=true gt_gap=14.810m  at gt=(29.56, -38.67) s=76.8m
[INFO] [1789723130.543045, 174.916000]: [event] proximity_detection id=136 verdict=true gt_gap=14.825m  at gt=(29.11, -38.59) s=77.3m
[INFO] [1789723134.254172, 175.886000]: [event] proximity_detection id=137 verdict=true gt_gap=14.826m  at gt=(28.65, -38.51) s=77.7m
[INFO] [1789723137.334065, 176.974500]: [event] proximity_detection id=138 verdict=true gt_gap=14.891m  at gt=(28.12, -38.39) s=78.3m
[INFO] [1789723140.499035, 177.888000]: [event] proximity_detection id=139 verdict=true gt_gap=14.903m  at gt=(27.67, -38.30) s=78.7m
[INFO] [1789723143.986985, 178.933000]: [event] proximity_detection id=140 verdict=true gt_gap=14.955m  at gt=(27.19, -38.18) s=79.2m
[INFO] [1789723146.811247, 180.045500]: [event] proximity_detection id=141 verdict=true gt_gap=14.929m  at gt=(26.69, -38.05) s=79.7m
[INFO] [1789723149.352048, 181.070500]: [event] proximity_detection id=142 verdict=true gt_gap=14.839m  at gt=(26.25, -37.91) s=80.2m
[INFO] [1789723151.920311, 182.057500]: [event] proximity_detection id=143 verdict=true gt_gap=14.759m  at gt=(25.83, -37.74) s=80.7m
[INFO] [1789723154.918723, 183.178000]: [event] proximity_detection id=144 verdict=true gt_gap=14.732m  at gt=(25.35, -37.54) s=81.2m
[INFO] [1789723157.706408, 184.170500]: [event] proximity_detection id=145 verdict=true gt_gap=14.637m  at gt=(24.95, -37.35) s=81.6m
[INFO] [1789723277.162817, 218.325500]: [event] proximity_detection id=179 verdict=true gt_gap=13.367m  at gt=(18.27, -24.15) s=97.4m
[INFO] [1789723280.428559, 219.322000]: [event] proximity_detection id=180 verdict=true gt_gap=13.344m  at gt=(18.27, -23.67) s=97.9m
[INFO] [1789723284.118637, 220.298000]: [event] proximity_detection id=181 verdict=true gt_gap=13.338m  at gt=(18.27, -23.20) s=98.4m
[INFO] [1789723288.024186, 221.446000]: [event] proximity_detection id=182 verdict=true gt_gap=13.428m  at gt=(18.28, -22.65) s=98.9m
[INFO] [1789723291.572437, 222.410500]: [event] proximity_detection id=183 verdict=true gt_gap=13.464m  at gt=(18.28, -22.19) s=99.4m
[INFO] [1789723295.315597, 223.409500]: [event] proximity_detection id=184 verdict=true gt_gap=13.562m  at gt=(18.29, -21.72) s=99.9m
[INFO] [1789723298.886096, 224.415000]: [event] proximity_detection id=185 verdict=true gt_gap=13.626m  at gt=(18.30, -21.24) s=100.4m
[INFO] [1789723302.869272, 225.509500]: [event] proximity_detection id=186 verdict=true gt_gap=13.716m  at gt=(18.30, -20.71) s=100.9m
[INFO] [1789723305.953199, 226.573000]: [event] proximity_detection id=187 verdict=true gt_gap=13.815m  at gt=(18.31, -20.18) s=101.4m
[INFO] [1789723309.020407, 227.634500]: [event] proximity_detection id=188 verdict=true gt_gap=13.930m  at gt=(18.32, -19.68) s=101.9m
[INFO] [1789723312.343160, 228.625500]: [event] proximity_detection id=189 verdict=true gt_gap=13.999m  at gt=(18.32, -19.21) s=102.4m
[INFO] [1789723316.173448, 229.619000]: [event] proximity_detection id=190 verdict=true gt_gap=14.047m  at gt=(18.31, -18.74) s=102.9m
[INFO] [1789723319.578363, 230.617000]: [event] proximity_detection id=191 verdict=true gt_gap=14.037m  at gt=(18.31, -18.27) s=103.3m
[INFO] [1789723322.683528, 231.648000]: [event] proximity_detection id=192 verdict=true gt_gap=14.172m  at gt=(18.32, -17.78) s=103.8m
[INFO] [1789723325.586471, 232.673000]: [event] proximity_detection id=193 verdict=true gt_gap=14.242m  at gt=(18.33, -17.27) s=104.3m
[INFO] [1789723328.363596, 233.614500]: [event] proximity_detection id=194 verdict=true gt_gap=14.195m  at gt=(18.34, -16.83) s=104.8m
[INFO] [1789723331.839119, 234.623000]: [event] proximity_detection id=195 verdict=true gt_gap=14.282m  at gt=(18.34, -16.35) s=105.2m
[INFO] [1789723334.941584, 235.626000]: [event] proximity_detection id=196 verdict=true gt_gap=14.323m  at gt=(18.33, -15.87) s=105.7m
[INFO] [1789723337.902876, 236.657500]: [event] proximity_detection id=197 verdict=true gt_gap=14.370m  at gt=(18.34, -15.38) s=106.2m
[INFO] [1789723340.480354, 237.699000]: [event] proximity_detection id=198 verdict=true gt_gap=14.426m  at gt=(18.36, -14.86) s=106.7m
[INFO] [1789723343.043504, 238.646500]: [event] proximity_detection id=199 verdict=true gt_gap=14.376m  at gt=(18.36, -14.44) s=107.2m
[INFO] [1789723345.949730, 239.694000]: [event] proximity_detection id=200 verdict=true gt_gap=14.443m  at gt=(18.36, -13.96) s=107.6m
[INFO] [1789723349.103030, 240.604500]: [event] proximity_detection id=201 verdict=true gt_gap=14.463m  at gt=(18.35, -13.52) s=108.1m
[INFO] [1789723352.575943, 241.600500]: [event] proximity_detection id=202 verdict=true gt_gap=14.486m  at gt=(18.34, -13.06) s=108.5m
[INFO] [1789723356.341847, 242.597000]: [event] proximity_detection id=203 verdict=true gt_gap=14.486m  at gt=(18.34, -12.61) s=109.0m
[INFO] [1789723360.142473, 243.617500]: [event] proximity_detection id=204 verdict=true gt_gap=14.489m  at gt=(18.35, -12.14) s=109.5m
[INFO] [1789723363.883408, 244.630000]: [event] proximity_detection id=205 verdict=true gt_gap=14.432m  at gt=(18.36, -11.70) s=109.9m
